Numbers,Math,Literature,Foreign Language,Physic,Chemistry,Biology,History,Geography,Civic Education,Language_Code
1000001,8.4,6.75,8,6,5.25,5,0,0,0,N1
1000002,8.6,8.5,7.25,0,0,0,7.25,6,8,N1
1000003,8.2,8.75,8.25,0,0,0,7.25,7.25,8.75,N1
1000004,4.8,8.5,7.5,0,0,0,7,6,7.5,N1
1000005,8.6,9,7.75,0,0,0,9,8.75,8.5,N1
1000006,5.8,8.75,7.75,0,0,0,7.75,6.75,7.5,N1
1000007,6,7.5,0,0,0,0,6.75,7,7,
1000008,8.2,9,9,0,0,0,8,8.25,10,N1
1000009,8.2,8,8.5,8.25,4.25,6,0,0,0,N1
1000010,7.4,9,9.5,0,0,0,8.25,6.5,8.25,N1
1000011,7.2,8.5,9,7.75,6.75,6.25,0,0,0,N1
1000012,8.2,8,8.25,0,0,0,7.75,9.5,9,N1
1000013,5.2,8,8.5,0,0,0,7.5,5.75,8,N1
1000014,7.6,9,7.5,0,0,0,7.25,7.5,7.5,N1
1000015,7.6,9,7.5,0,0,0,7.75,8.5,8.75,N1
1000016,6,5.75,6.75,0,0,0,7.75,7,7.75,N1
1000017,7,8.75,7.75,3.75,7.5,7.25,0,0,0,N1
1000018,8.2,6,9,7.75,6.75,6.75,0,0,0,N1
1000019,2.8,4.25,0,0,0,0,5.75,7,0,
1000020,7.6,8.5,9.25,0,0,0,7,8,7.75,N1
1000021,8.4,8.5,8.5,2.5,8.75,7.75,0,0,0,N1
1000022,,4.25,0,0,0,0,5.75,6.25,0,
1000023,8.8,9.25,8.75,8.5,6.5,7,0,0,0,N1
1000024,8.4,9.5,8.75,0,0,0,7.25,8.75,8.25,N1
1000025,7.8,9.25,8.5,0,0,0,7,7.5,7.75,N1
1000026,7.2,8.25,0,7.5,8.75,8.75,0,0,0,
1000027,8.2,8.75,8,6.25,9,5.75,0,0,0,N1
1000028,8.8,8.5,9,0,0,0,8.25,8.5,8.75,N1
1000029,,6.25,0,0,0,0,5,5.5,0,
1000030,8,7.75,7.5,7,2,3.75,0,0,0,N1
1000031,6.8,9.5,8.5,0,0,0,8.5,7.75,9,N1
1000032,8.2,8.75,7,0,0,0,8.75,9,8.5,N1
1000033,8.6,9.5,9.25,0,0,0,9,8,9,N1
1000034,7.8,9.25,7.75,0,0,0,7.75,8,8.25,N1
1000035,8,7.5,8.5,5,7.25,4.75,0,0,0,N1
1000036,6.4,7.25,4.75,2.5,3.5,4.5,0,0,0,N1
1000037,7.6,8.75,9.25,0,0,0,8,7.25,7.75,N1
1000038,8.2,9,8.5,0,0,0,7.75,8.25,8.75,N1
1000039,7.2,5.75,5.5,0,0,0,7.75,7.25,7.5,N1
1000040,7,7.75,6,0,0,0,6.75,6,8.25,N1
1000041,6.2,7.75,8.25,7.25,7,5.75,0,0,0,N1
1000042,7,8.5,7,0,0,0,5.5,5,7,N1
1000043,8,8,9.5,8.25,6,7,0,0,0,N1
1000044,9,7.75,7.5,8.5,8.5,6.5,0,0,0,N1
1000045,,4,0,0,0,0,7.25,6.5,0,
1000046,7.8,8.25,9.25,7,5.5,6.25,0,0,0,N1
1000047,4.8,8.5,0,0,0,0,9.25,9.5,0,
1000048,6.8,5.5,6,0,0,0,5.75,6.75,7.25,N1
1000049,7.6,6.5,8.5,5.5,5.5,6.25,0,0,0,N1
1000050,8,9.25,9.5,0,0,0,8,8,8.5,N1
1000051,6.6,8,4.75,0,0,0,7.75,7.75,8.75,N1
1000052,6.6,8.5,7.5,0,0,0,0,6.75,0,N3
1000053,8,8.75,6.75,3.25,8.25,5.5,0,0,0,N1
1000054,7.8,9,8,0,0,0,7,8.75,8.75,N1
1000055,7,6,3.5,4,6.75,5.25,0,0,0,N1
